Japanese,Kanji,English
rei zero,れい、ゼロ、零,zero
ichi,いち、一,one
ni,に、二,two
san,さん、三,three
yon shi,よん、し、四,four
go,ご、五,five
roku,ろく、六,six
nana shichi,なな、しち、七,seven
hachi,はち、八,eight
kyū ku,きゅう、く、九,nine
jū,じゅう、十,ten
hyaku,ひゃく、百,hundred
sen,せん、千,thousand
man,まん、万,ten thousand
oku,おく、億,one hundred million
hitotsu,ひとつ、一つ,one one thing
futatsu,ふたつ、二つ,two two things
mittsu,みっつ、三つ,three three things
yottsu,よっつ、四つ,four four things
itsutsu,いつつ、五つ,five five things
muttsu,むっつ、六つ,six six things
nanatsu,ななつ、七つ,seven seven things
yattsu,やっつ、八つ,eight eight things
kokonotsu,ここのつ、九つ,nine nine things
tō,とお、十,ten ten things
