Japanese,Kanji,English
ashi,あし、足、脚,foot or leg
kakato,かかと、踵,heel
sune,すね、脛,shin
hiza,ひざ、膝,knee
momo,もも、腿,thigh
atama,あたま、頭,head
kao,かお、顔,face
kuchi,くち、口,mouth
kuchibiru,くちびる、唇,lips
ha,は、歯,tooth
hana,はな、鼻,nose
me,め、目,eye
hige,ひげ、髭、鬚、髯,moustache or beard
kami,かみ、髪,hair
mimi,みみ、耳,ear
onaka,おなか、御腹,stomach
ude,うで、腕,arm
hiji,ひじ、肘,elbow
kata,かた、肩,shoulder
tsume,つめ、爪,nail
te,て、手,hand
tekubi,てくび、手首,wrist
te-no-hira,てのひら、掌、手の平,palm of hand
yubi,ゆび、指,finger or toe
shiri,しり、尻,buttocks
o-naka,おなか、お腹 （はら、腹,abdomen
kanzō,かんぞう、肝臓,liver
kimo,きも、肝,liver
kin'niku,きんにく、筋肉,muscle
kubi,くび、首,neck
kokoro,こころ、心,heart [as in feelings]
koshi,こし、腰,waist or hip
shinzō,しんぞう、心臓,heart
senaka,せなか、背中,back
chi,ち、血,blood
niku,にく、肉,meat
hada,はだ、肌、膚,skin
hifu,ひふ、皮膚,skin
hone,ほね、骨,bone
mune,むね、胸,chest
