Japanese,Kanji,English
jikan,じかん、時間,time
toki,とき、じ、時,hours
koyomi,こよみ、カレンダー、暦,calendar
fun,ふん、分,minute
byō,びょう、秒,second
 nichi,ひ、にち、日,day
tsuki,つき、がつ、月,month
toshi,とし、ねん、年,year
kinō,きのう、さくじつ、昨日,yesterday
kyō,きょう、今日,today
ashita,あした、あす、みょうにち、明日,tomorrow
asa,あさ、朝,morning
hiru,ひる、昼,afternoon
yūgata,ゆうがた、夕方,evening
ban,ばん、晩,evening
yoru,よる、夜,evening or night
yōbi,ようび、曜日,~day
shū,しゅう、週,week
nichi-yōbi,にちようび、日曜日,Sunday
getsu-yōbi,げつようび、月曜日,Monday
ka-yōbi,かようび、火曜日,Tuesday
sui-yōbi,すいようび、水曜日,Wednesday
moku-yōbi,もくようび、木曜日,Thursday
kin-yōbi,きんようび、金曜日,Friday
do-yōbi,どようび、土曜日,Saturday
